//X,Y,Z,ObjIdx
-19.46308517,15.04876900,0.85913509,0.000000
-19.37148476,15.16744137,0.85915679,0.000000
-19.27929688,15.28568363,0.85917878,0.000000
-19.18615150,15.40322208,0.85920012,0.000000
-19.09242058,15.52029228,0.85922176,0.000000
-18.99794960,15.63671875,0.85924435,0.000000
-18.90283203,15.75261688,0.85926664,0.000000
-18.80689430,15.86792946,0.85928923,0.000000
-18.71037102,15.98267555,0.85931152,0.000000
-18.61318398,16.09689331,0.85933471,0.000000
-18.51519585,16.21039009,0.85935760,0.000000
-18.41656303,16.32339859,0.85938078,0.000000
-18.31722641,16.43578148,0.85940397,0.000000
-18.21718788,16.54749870,0.85942715,0.000000
-15.24779224,14.02081966,0.72335905,0.000000
-15.13316345,14.08660126,0.72197753,0.000000
-15.01898384,14.15208912,0.72063351,0.000000
-14.90519524,14.21734333,0.71931672,0.000000
-14.79183578,14.28238297,0.71803343,0.000000
-14.67886639,14.34718704,0.71677822,0.000000
-14.88505840,14.72714806,0.73121917,0.000000
-16.43019485,16.45529175,0.81203395,0.000000
-16.30310440,16.52820206,0.81071228,0.000000
-16.17638588,16.60087776,0.80942595,0.000000
-16.05003929,16.67335892,0.80817688,0.000000
-16.22339821,17.06023407,0.82213467,0.000000
-16.85673714,17.94402313,0.85974610,0.000000
-16.74757767,18.04699135,0.85977143,0.000000
-16.63781166,18.14931679,0.85979766,0.000000
-16.52734375,18.25087929,0.85982329,0.000000
-16.41625023,18.35177612,0.85984951,0.000000
-16.30466843,18.45208931,0.85987544,0.000000
-16.19242096,18.55169868,0.85990173,0.000000
-16.07957077,18.65060425,0.85992795,0.000000
-15.96611309,18.74880791,0.85995483,0.000000
-15.85201168,18.84634781,0.85998136,0.000000
-15.73732376,18.94318390,0.86000854,0.000000
-15.62207031,19.03933525,0.86003536,0.000000
-12.59517574,15.54242134,0.69859433,0.000000
-12.48812485,15.60380840,0.69792080,0.000000
-12.38130856,15.66509724,0.69727415,0.000000
-12.27466774,15.72624969,0.69665253,0.000000
-12.16826153,15.78730392,0.69605833,0.000000
-12.11121082,15.91296864,0.69833189,0.000000
-13.59044933,18.08417892,0.78996611,0.000000
-13.47005844,18.15322304,0.78938472,0.000000
-13.74630833,18.76339722,0.81226528,0.000000
-14.43814468,19.96187401,0.86031246,0.000000
-17.52466774,24.54279327,1.05311608,0.000000
-17.36451149,24.63466835,1.05249536,0.000000
-17.20460892,24.72638702,1.05191922,0.000000
-18.10357475,26.35964775,1.11668670,0.000000
-19.39910126,28.61810493,1.20732689,0.000000
-20.57415962,30.75351524,1.29210114,0.000000
-53.41648483,107.37134552,4.18785524,0.000000
-52.66640472,107.50144196,4.18034220,0.000000
-51.91898346,107.63107300,4.17298508,0.000000
-51.17414093,107.76025391,4.16583681,0.000000
-50.43179703,107.88899994,4.15885162,0.000000
-49.69195175,108.01731873,4.15204477,0.000000
-48.95445251,108.14517212,4.14541483,0.000000
-30.84138680,105.30591583,3.83183026,0.000000
-30.17868996,105.42086029,3.82924008,0.000000
-29.51685524,105.53564453,3.82681274,0.000000
-28.85587883,105.65026855,3.82452869,0.000000
-28.19568253,105.76478577,3.82236433,0.000000
-27.53619003,105.87913513,3.82038069,0.000000
-26.87728500,105.99341583,3.81850386,0.000000
-26.21908188,106.10757446,3.81679559,0.000000
-13.27648449,55.17099380,1.98161530,0.000000
-12.67617130,54.12445068,1.94121790,0.000000
-12.09988213,53.11974335,1.90249598,0.000000
-11.24083996,50.77540970,1.81604218,0.000000
-10.72230434,49.87136459,1.78134274,0.000000
-10.26787090,49.21535110,1.75563753,0.000000
-9.98779297,49.37601471,1.75917351,0.000000
-9.62722588,49.13259506,1.74837554,0.000000
-9.09109402,47.94308472,1.70404327,0.000000
-8.81755829,48.10001755,1.70768309,0.000000
-8.54277325,48.25759506,1.71139097,0.000000
-8.26687527,48.41587830,1.71519041,0.000000
-7.98962879,48.57490158,1.71906495,0.000000
-7.71119118,48.73464584,1.72302091,0.000000
-7.43138647,48.89509583,1.72706020,0.000000
-7.15035152,49.05630875,1.73118770,0.000000
-6.86790991,49.21831894,1.73538876,0.000000
-6.58406258,49.38111115,1.73968744,0.000000
-6.29886723,49.54476547,1.74407160,0.000000
-6.01214838,49.70921707,1.74853146,0.000000
-5.72396469,49.87449265,1.75309050,0.000000
-5.43423796,50.04070282,1.75773430,0.000000
-4.62468719,45.14757538,1.58483887,0.000000
-4.29076147,44.56542969,1.56345725,0.000000
-3.96572256,43.99880600,1.54270506,0.000000
-3.64921856,43.44697189,1.52254426,0.000000
-3.33304691,42.80888748,1.49944091,0.000000
-3.06033206,42.66460800,1.49370444,0.000000
-2.80857420,42.80902100,1.49813473,0.000000
-2.55527329,42.95429611,1.50264430,0.000000
-2.30046868,43.10046768,1.50724363,0.000000
-2.04515624,43.26937485,1.51268363,0.000000
-1.78703117,43.41746140,1.51745510,0.000000
-1.52724612,43.56644440,1.52230859,0.000000
-1.26583982,43.71638489,1.52725089,0.000000
-1.00271487,43.86734390,1.53227592,0.000000
-0.73775387,44.01929474,1.53740168,0.000000
-0.47107419,44.17226410,1.54261529,0.000000
-0.20255859,44.32626724,1.54792237,0.000000
0.06781249,44.48136520,1.55332339,0.000000
0.34009764,44.63753891,1.55882597,0.000000
0.61435544,44.79484177,1.56442010,0.000000
0.89052731,44.95326233,1.57010734,0.000000
1.16878903,45.11285019,1.57590568,0.000000
1.44904292,45.27368927,1.58179593,0.000000
1.73148429,45.43568420,1.58780026,0.000000
2.01605463,45.59886551,1.59390438,0.000000
2.28996086,45.50740051,1.59116387,0.000000
2.54318357,45.06595612,1.57624078,0.000000
2.79171872,44.63267517,1.56165218,0.000000
3.03566408,44.20736313,1.54738855,0.000000
3.27523422,43.78970718,1.53344476,0.000000
3.51050782,43.37950897,1.51979494,0.000000
3.78749990,43.50230408,1.52488160,0.000000
4.06978512,43.66423798,1.53139400,0.000000
4.35458994,43.82759857,1.53803003,0.000000
4.64193344,43.99238205,1.54477596,0.000000
4.93171883,44.15863037,1.55163968,0.000000
5.22416019,44.32636642,1.55862272,0.000000
5.51925755,44.49562454,1.56573272,0.000000
5.81703091,44.66640472,1.57295501,0.000000
6.11761713,44.83888626,1.58031404,0.000000
6.42099571,45.01292801,1.58780086,0.000000
10.67583942,71.71161652,2.53181911,0.000000
11.13533211,71.79132843,2.53698826,0.000000
11.59673786,71.87136841,2.54226518,0.000000
12.06001949,71.95173645,2.54765773,0.000000
12.52533150,72.03244019,2.55316758,0.000000
11.02072239,61.16845703,2.17044306,0.000000
11.20642567,60.09788895,2.13483047,0.000000
11.38609314,59.06183624,2.10045743,0.000000
11.56007767,58.05859375,2.06724477,0.000000
11.72865200,57.08658218,2.03514576,0.000000
11.89206982,56.14427567,2.00410509,0.000000
12.05062485,55.23015594,1.97405422,0.000000
12.20455074,54.34310532,1.94497406,0.000000
12.35392570,53.48175812,1.91680264,0.000000
12.49908161,52.64493942,1.88950372,0.000000
12.77234364,52.37382507,1.88252556,0.000000
13.12640572,52.43523407,1.88757598,0.000000
13.48234367,52.49699020,1.89272547,0.000000
13.84031200,52.55908203,1.89796567,0.000000
14.20019531,52.62148285,1.90331328,0.000000
14.56216717,52.68423843,1.90875483,0.000000
14.92623043,52.74740219,1.91430569,0.000000
15.29240227,52.81085968,1.91995382,0.000000
15.66079998,52.87478256,1.92571318,0.000000
16.03142548,52.93907928,1.93157899,0.000000
16.40427780,53.00374985,1.93755281,0.000000
16.77947235,53.06880569,1.94362295,0.000000
17.15708923,53.13427734,1.94981742,0.000000
17.53709030,53.20017624,1.95612359,0.000000
17.91959000,53.26648331,1.96254420,0.000000
18.30459023,53.33332062,1.96907949,0.000000
18.69220734,53.40050507,1.97572541,0.000000
19.08244133,53.46821976,1.98249686,0.000000
19.47541046,53.53638458,1.98938894,0.000000
19.87111282,53.60499954,1.99640381,0.000000
20.26962852,53.67411804,2.00353575,0.000000
20.67099571,53.74372864,2.01080775,0.000000
21.07533073,53.81386566,2.01818633,0.000000
21.48267555,53.88451004,2.02571464,0.000000
21.89306641,53.95568085,2.03336978,0.000000
22.30661964,54.02740097,2.04116416,0.000000
22.72333908,54.09966660,2.04908204,0.000000
23.14333916,54.17253876,2.05714440,0.000000
23.56665993,54.24595642,2.06534719,0.000000
23.99333954,54.31993866,2.07369351,0.000000
24.42357445,54.39456940,2.08218479,0.000000
24.85734367,54.46978378,2.09083104,0.000000
25.29468727,54.54560471,2.09961843,0.000000
25.73578072,54.62214661,2.10855269,0.000000
26.18070221,54.69931412,2.11765647,0.000000
26.62945175,54.77714539,2.12691045,0.000000
27.08218765,54.85562515,2.13634086,0.000000
27.53894424,54.93484116,2.14591193,0.000000
27.99980354,55.01474380,2.15565658,0.000000
28.46496010,55.09544754,2.16557908,0.000000
28.93437386,55.17683411,2.17566729,0.000000
29.40820313,55.25905991,2.18594337,0.000000
29.88648415,55.34204865,2.19637990,0.000000
30.36945152,55.42581940,2.20700431,0.000000
30.85718727,55.51039124,2.21783018,0.000000
31.34960938,55.59576035,2.22882962,0.000000
31.84706879,55.68206787,2.24002886,0.000000
32.34957123,55.76918030,2.25142765,0.000000
31.99429703,54.39021301,2.20359015,0.000000
32.09517670,53.80857468,2.18789768,0.000000
32.19462967,53.23521423,2.17253089,0.000000
32.29271317,52.66978455,2.15744805,0.000000
32.34832001,52.04601288,2.13992476,0.000000
32.44361115,51.49667740,2.12542939,0.000000
32.53761673,50.95472717,2.11121368,0.000000
32.67179489,50.48392487,2.09991932,0.000000
32.76343536,49.95548630,2.08620596,0.000000
32.77914047,49.32140350,2.06802726,0.000000
