//X,Y,Z,ObjIdx
-15.58560467,15.99462891,0.77986741,0.000000
-15.59244061,16.19800758,0.78513563,0.000000
-15.59941387,16.40413094,0.79050338,0.000000
-15.60642529,16.61307526,0.79597515,0.000000
-15.61351490,16.82496071,0.80155408,0.000000
-15.62078094,17.03987312,0.80724132,0.000000
-15.62812424,17.25784111,0.81304002,0.000000
-15.63558578,17.47896385,0.81895429,0.000000
-15.58921814,17.64238167,0.82214278,0.000000
-15.76019478,18.05647469,0.83694899,0.000000
-15.76804638,18.28923798,0.84326857,0.000000
-15.77599621,18.52556610,0.84971571,0.000000
-15.78406239,18.76552773,0.85629469,0.000000
-15.79226494,19.00927734,0.86300915,0.000000
-15.80058575,19.25686455,0.86986190,0.000000
-15.64523411,19.30623055,0.86777115,0.000000
-15.70781231,19.62685585,0.87785995,0.000000
-15.71650314,19.88490105,0.88510203,0.000000
-15.72533131,20.14724541,0.89249557,0.000000
-15.73433590,20.41403198,0.90004897,0.000000
-15.74345684,20.68538094,0.90776622,0.000000
-15.75273418,20.96143532,0.91565168,0.000000
-15.76220703,21.24233437,0.92370957,0.000000
-15.77179623,21.52823257,0.93194503,0.000000
-15.78160095,21.81929588,0.94036055,0.000000
-15.79160118,22.11564445,0.94896895,0.000000
-15.80171871,22.41750908,0.95776927,0.000000
-15.81208992,22.72505760,0.96677381,0.000000
-15.81900311,23.03310585,0.97575969,0.000000
-15.94410133,23.52112198,0.99229813,0.000000
-15.95513630,23.84907150,1.00201368,0.000000
-15.96636677,24.18347549,1.01195753,0.000000
-15.97789001,24.52463722,1.02213907,0.000000
-15.87671852,24.69715691,1.02530289,0.000000
-15.89042950,25.05285072,1.03600323,0.000000
-15.90253830,25.41303635,1.04686928,0.000000
-15.91494083,25.78089714,1.05800915,0.000000
-15.92757797,26.15667915,1.06942880,0.000000
-15.94050789,26.54068375,1.08113694,0.000000
-31.74124908,53.58583069,2.17490435,0.000000
-31.58025360,54.06269455,2.18640423,0.000000
-31.23976517,54.23606491,2.18567729,0.000000
-31.00597572,54.59681702,2.19255972,0.000000
-30.55511665,54.57479477,2.18415570,0.000000
-23.30968666,42.23540878,1.68460703,0.000000
-22.75048828,41.82269287,1.66257858,0.000000
-22.36374855,41.71535873,1.65286934,0.000000
-22.01841736,41.67919922,1.64608812,0.000000
-21.69388580,41.67792892,1.64078104,0.000000
-21.37142563,41.67669678,1.63557410,0.000000
-21.05107307,41.67544937,1.63046587,0.000000
-20.73259735,41.67421722,1.62544358,0.000000
-20.41611290,41.67298889,1.62051249,0.000000
-20.10154343,41.67177582,1.61567092,0.000000
-19.78880882,41.67056656,1.61091840,0.000000
-19.47796822,41.66937256,1.60625315,0.000000
-19.16882706,41.66818237,1.60167396,0.000000
-18.86148453,41.66699219,1.59717941,0.000000
-18.37933540,41.26941299,1.57761729,0.000000
-18.25187492,41.66462708,1.58844316,0.000000
-17.94953156,41.66345596,1.58419871,0.000000
-17.64875031,41.66228485,1.58003557,0.000000
-17.34960938,41.66113281,1.57595110,0.000000
-17.05195236,41.65996170,1.57194746,0.000000
-16.75581932,41.65882874,1.56802225,0.000000
-16.46113205,41.65769577,1.56417429,0.000000
-16.16789055,41.65654373,1.56040263,0.000000
-15.87601566,41.65542984,1.55670667,0.000000
-15.58554649,41.65429688,1.55308545,0.000000
